Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2025-02-14T14:30:00.094Z,GOEVQ,SELL - MARKET,0.39884323,USD 0.13,USD 0.03,USD,0.0421
2025-06-12T13:53:05.271501Z,,CASH TOP-UP,,,USD 800,USD,0.0469
2025-06-12T13:53:06.056Z,CRSP,BUY - MARKET,19.86814005,USD 40.27,USD 800,USD,0.0469
2025-06-12T13:53:35.423379Z,,CASH TOP-UP,,,USD 800,USD,0.0469
2025-06-12T13:53:36.123Z,ENPH,BUY - MARKET,17.74251497,USD 45.09,USD 800,USD,0.0469
2025-08-27T17:33:52.690864Z,,CASH TOP-UP,,,USD 700,USD,0.0476
2025-08-27T17:33:53.624Z,PATH,BUY - MARKET,63.01350135,USD 11.11,USD 700,USD,0.0476
2025-12-16T14:30:01.821Z,PLTR,SELL - MARKET,12,USD 181.98,USD 2183.75,USD,0.0486
2025-12-17T11:10:10.868702Z,,CASH WITHDRAWAL,,,USD -2183.78,USD,0.0483
2026-01-05T14:31:00.012Z,PATH,SELL - MARKET,77.25,USD 15.80,USD 1220.54,USD,0.0485
2026-01-06T11:21:24.040891Z,,CASH WITHDRAWAL,,,USD -1220.54,USD,0.0485
2026-01-07T16:41:19.601Z,PLTR,SELL - MARKET,10,USD 183.93,USD 1839.25,USD,0.0483
2026-01-07T16:42:36.109Z,NNE,BUY - MARKET,56.52089735,USD 32.54,USD 1839,USD,0.0483
2026-01-12T17:08:56.765Z,PLTR,SELL - MARKET,18,USD 177.79,USD 3200.13,USD,0.0482
2026-01-13T09:18:10.524681Z,,CASH WITHDRAWAL,,,USD -3200.38,USD,0.0482
2026-01-26T15:39:17.788Z,PLTR,SELL - MARKET,6,USD 169.17,USD 1015,USD,0.0492
2026-01-28T21:08:00.155398Z,,CASH WITHDRAWAL,,,USD -1015,USD,0.0494
2026-02-02T16:14:16.032Z,PLTR,SELL - MARKET,10,USD 150.38,USD 1503.82,USD,0.0487
2026-02-03T09:56:00.482932Z,,CASH WITHDRAWAL,,,USD -1503.82,USD,0.0487
2026-02-04T14:30:02.241Z,PLTR,SELL - MARKET,10,USD 155.35,USD 1553.49,USD,0.0486
2026-02-05T17:06:25.136957Z,,CASH WITHDRAWAL,,,USD -1553.49,USD,0.0488
2026-02-06T18:14:46.641Z,PLTR,SELL - MARKET,15,USD 136.41,USD 2046.08,USD,0.0490
2026-02-09T01:02:45.686043Z,,CASH WITHDRAWAL,,,USD -2046.08,USD,0.0490
2026-02-09T15:02:34.213Z,PLTR,SELL - MARKET,15,USD 139.75,USD 2096.18,USD,0.0494
2026-02-09T18:14:46.038Z,RIVN,SELL - MARKET,20,USD 15.06,USD 301.22,USD,0.0493
2026-02-09T18:16:39.285Z,QS,BUY - MARKET,55,USD 9.03,USD 496.57,USD,0.0493
2026-02-10T14:43:24.933315Z,,CASH WITHDRAWAL,,,USD -1900.83,USD,0.0493
2026-02-18T19:46:18.319Z,PLTR,SELL - MARKET,5,USD 135.78,USD 678.90,USD,0.0488
2026-02-23T20:49:01.823586Z,,CASH WITHDRAWAL,,,USD -678.90,USD,0.0488
2026-02-26T20:05:27.355Z,PLTR,SELL - MARKET,10,USD 135.80,USD 1358.02,USD,0.0488
2026-03-02T15:27:06.706Z,PLTR,SELL - MARKET,5,USD 144.85,USD 724.26,USD,0.0483
2026-03-03T13:54:10.882321Z,,CASH WITHDRAWAL,,,USD -2082.28,USD,0.0477
2026-03-06T19:29:21.748Z,PLTR,SELL - MARKET,5,USD 161.34,USD 806.71,USD,0.0478
2026-03-09T13:32:28.760390Z,,CASH WITHDRAWAL,,,USD -806.71,USD,0.0476
2026-03-09T19:22:56Z,PLTR,SELL - MARKET,20,USD 156.27,USD 3125.47,USD,0.0477
2026-03-10T14:56:33.394587Z,,CASH WITHDRAWAL,,,USD -3125.47,USD,0.0479
